Symbol,Sector
BAJAJINDEF,Industrials
BAJEL,Utilities
BAJFINANCE,Financial Services
BALAJEE,Consumer Cyclical
BALAJITELE,Communication Services
BALAMINES,Basic Materials
BALAXI,Healthcare
BALKRISHNA,Consumer Cyclical
BALKRISIND,Consumer Cyclical
BALMLAWRIE,Industrials
BALPHARMA,Healthcare
BALRAMCHIN,Consumer Defensive
BALUFORGE,Industrials
BANARBEADS,Consumer Cyclical
BANARISUG,Consumer Defensive
BANCOINDIA,Consumer Cyclical
BANDHANBNK,Financial Services
BANG,Consumer Cyclical
BANKA,Industrials
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BANSALWIRE,Basic Materials
BANSWRAS,Consumer Cyclical
BARBEQUE,Consumer Cyclical
BASF,Basic Materials
BASML,Consumer Cyclical
BATAINDIA,Consumer Cyclical
BAYERCROP,Basic Materials
BBL,Industrials
BBOX,Technology
BBTC,Consumer Defensive
BBTCL,Consumer Cyclical
BCG,Communication Services
BCLIND,Consumer Defensive
BCONCEPTS,Consumer Cyclical
BDL,Industrials
BEARDSELL,Industrials
BECTORFOOD,Consumer Defensive
BEDMUTHA,Basic Materials
BEL,Industrials
BELLACASA,Consumer Cyclical
BELRISE,Consumer Cyclical
BEML,Industrials
BEPL,Basic Materials
BERGEPAINT,Basic Materials
BESTAGRO,Basic Materials
BFINVEST,Financial Services
BFUTILITIE,Industrials
BGRENERGY,Industrials
BHAGCHEM,Basic Materials
BHAGERIA,Basic Materials
BHAGYANGR,Basic Materials
BHANDARI,Consumer Cyclical
BHARATFORG,Consumer Cyclical
BHARATGEAR,Consumer Cyclical
BHARATRAS,Basic Materials
BHARATSE,Consumer Cyclical
BHARATWIRE,Basic Materials
BHARTIARTL,Communication Services
BHARTIHEXA,Communication Services
BHEL,Industrials
BIGBLOC,Industrials
BIKAJI,Consumer Defensive
BIL,Consumer Cyclical
BILVYAPAR,Basic Materials
BIOCON,Healthcare
BIOFILCHEM,Healthcare
BIRLACABLE,Technology
BIRLACORPN,Basic Materials
BIRLAMONEY,Financial Services
BIRLANU,Industrials
BLACKBUCK,Technology
BLAL,Financial Services
BLBLIMITED,Financial Services
BLISSGVS,Healthcare
BLKASHYAP,Industrials
BLS,Industrials
BLSE,Industrials
