Symbol,Sector
KARMAENG,Utilities
KARURVYSYA,Financial Services
KAUSHALYA,Industrials
KAVDEFENCE,Technology
KAYA,Consumer Defensive
KAYNES,Industrials
KCP,Basic Materials
KCPSUGIND,Consumer Defensive
KDDL,Consumer Cyclical
KEC,Industrials
KECL,Industrials
KEEPLEARN,Consumer Defensive
KEI,Industrials
KELLTONTEC,Technology
KERNEX,Technology
KESORAMIND,Basic Materials
KEYFINSERV,Financial Services
KFINTECH,Technology
KHADIM,Consumer Cyclical
KHAICHEM,Basic Materials
KHAITANLTD,Consumer Cyclical
KHANDSE,Financial Services
KICL,Financial Services
KILITC-RE,Unknown
KILITCH,Healthcare
KIMS,Healthcare
KINGFA,Basic Materials
KIOCL,Basic Materials
KIRIINDUS,Basic Materials
KIRLOSBROS,Industrials
KIRLOSENG,Industrials
KIRLOSIND,Industrials
KIRLPNU,Industrials
KITEX,Consumer Cyclical
KKCL,Consumer Cyclical
KMEW,Industrials
KMSUGAR,Consumer Defensive
KNRCON,Industrials
KOHINOOR,Consumer Defensive
KOKUYOCMLN,Industrials
KOLTEPATIL,Real Estate
KOPRAN,Healthcare
KOTAKBANK,Financial Services
KOTARISUG,Consumer Defensive
KOTHARIPET,Basic Materials
KOTHARIPRO,Industrials
KPEL,Industrials
KPIGREEN,Utilities
KPIL,Industrials
KPITTECH,Technology
KPRMILL,Consumer Cyclical
KRBL,Consumer Defensive
KREBSBIO,Healthcare
KRIDHANINF,Basic Materials
KRISHANA,Basic Materials
KRISHIVAL,Consumer Defensive
KRITI,Industrials
KRITIKA,Basic Materials
KRITINUT,Consumer Defensive
KRN,Technology
KRONOX,Basic Materials
KROSS,Consumer Cyclical
KRSNAA,Healthcare
KRYSTAL,Industrials
KSB,Industrials
KSCL,Basic Materials
KSHITIJPOL,Industrials
KSL,Basic Materials
KSOLVES,Technology
KTKBANK,Financial Services
KUANTUM,Basic Materials
LAGNAM,Consumer Cyclical
LAKPRE,Industrials
LAL,Consumer Cyclical
LALPATHLAB,Healthcare
LAMBODHARA,Consumer Cyclical
LANCORHOL,Real Estate
LANDMARK,Consumer Cyclical
LAOPALA,Consumer Cyclical
LASA,Healthcare
LATENTVIEW,Industrials
LATTEYS,Industrials
LAURUSLABS,Healthcare
LAXMICOT,Consumer Cyclical
LAXMIDENTL,Healthcare
LAXMIINDIA,Financial Services
LCCINFOTEC,Consumer Defensive
LEMONTREE,Consumer Cyclical
LEXUS,Industrials
LFIC,Financial Services
LGBBROSLTD,Consumer Cyclical
LGHL,Consumer Cyclical
LIBAS,Consumer Cyclical
LIBERTSHOE,Consumer Cyclical
LICHSGFIN,Financial Services
LICI,Financial Services
LIKHITHA,Energy
LINC,Industrials
LINCOLN,Healthcare
LINDEINDIA,Basic Materials
LLOYDSENGG,Industrials
LLOYDSENT,Basic Materials
LLOYDSME,Basic Materials
LMW,Industrials
LODHA,Real Estate
LOKESHMACH,Industrials
LORDSCHLO,Basic Materials
LOTUSDEV,Industrials
LOTUSEYE,Healthcare
LOVABLE,Consumer Cyclical
LOYALTEX,Consumer Cyclical
LPDC,Real Estate
LT,Industrials
LTF,Financial Services
LTFOODS,Consumer Defensive
LTIM,Technology
LTTS,Technology
LUMAXIND,Consumer Cyclical
LUMAXTECH,Consumer Cyclical
LUPIN,Healthcare
LUXIND,Consumer Cyclical
LXCHEM,Basic Materials
LYKALABS,Healthcare
LYPSAGEMS,Consumer Cyclical
M&M,Consumer Cyclical
M&MFIN,Financial Services
MAANALU,Basic Materials
MACPOWER,Industrials
MADHAV,Industrials
MADHUCON,Industrials
MADRASFERT,Basic Materials
MAGADSUGAR,Consumer Defensive
MAGNUM,Basic Materials
MAHABANK,Financial Services
MAHAPEXLTD,Financial Services
MAHASTEEL,Basic Materials
MAHEPC,Industrials
MAHESHWARI,Industrials
MAHLIFE,Real Estate
MAHLOG,Industrials
MAHLOG-RE,Unknown
MAHSCOOTER,Consumer Cyclical
MAHSEAMLES,Basic Materials
MAITHANALL,Basic Materials
MALLCOM,Industrials
MALUPAPER,Basic Materials
MAMATA,Industrials
MANAKALUCO,Basic Materials
MANAKCOAT,Industrials
MANAKSIA,Industrials
MANAKSTEEL,Basic Materials
MANALIPETC,Basic Materials
MANAPPURAM,Financial Services
MANBA,Financial Services
MANCREDIT,Financial Services
MANGALAM,Healthcare
MANGCHEFER,Basic Materials
MANGLMCEM,Basic Materials
MANINDS,Basic Materials
MANINFRA,Industrials
MANKIND,Healthcare
MANOMAY,Consumer Cyclical
MANORAMA,Consumer Defensive
MANORG,Basic Materials
MANUGRAPH,Industrials
MANYAVAR,Consumer Cyclical
MAPMYINDIA,Technology
MARALOVER,Consumer Cyclical
MARATHON,Real Estate
MARICO,Consumer Defensive
MARINE,Industrials
MARKSANS,Healthcare
MARUTI,Consumer Cyclical
MASFIN,Financial Services
MASKINVEST,Financial Services
MASTEK,Technology
MASTERTR,Financial Services
MATRIMONY,Communication Services
MAWANASUG,Consumer Defensive
MAXESTATES,Real Estate
MAXHEALTH,Healthcare
MAXIND,Healthcare
MAYURUNIQ,Consumer Cyclical
MAZDA,Industrials
MAZDOCK,Industrials
MBAPL,Basic Materials
MBEL,Industrials
MBLINFRA,Industrials
MCL,Basic Materials
MCLEODRUSS,Consumer Defensive
MCLOUD,Technology
MCX,Financial Services
MEDANTA,Healthcare
MEDIASSIST,Healthcare
MEDICAMEQ,Healthcare
MEDICO,Healthcare
MEDPLUS,Healthcare
MEGASOFT,Healthcare
MEGASTAR,Consumer Defensive
MENONBE,Consumer Cyclical
MEP,Industrials
METROBRAND,Consumer Cyclical
METROPOLIS,Healthcare
MFML,Consumer Cyclical
MFSL,Financial Services
MGEL,Consumer Defensive
MGL,Utilities
MHLXMIRU,Consumer Cyclical
MHRIL,Consumer Cyclical
MICEL,Technology
MIDHANI,Basic Materials
MINDACORP,Consumer Cyclical
MINDTECK,Technology
MIRCELECTR,Consumer Cyclical
MIRZAINT,Consumer Cyclical
MITCON,Industrials
MITTAL,Consumer Cyclical
MKPL,Consumer Defensive
MMFL,Industrials
MMP,Basic Materials
MMTC,Industrials
MOBIKWIK,Technology
MODIRUBBER,Real Estate
MODISONLTD,Industrials
MODTHREAD,Consumer Cyclical
MOHITIND,Consumer Cyclical
MOIL,Basic Materials
MOKSH,Consumer Cyclical
MOL,Basic Materials
MOLDTECH,Industrials
MOLDTKPAC,Consumer Cyclical
MONARCH,Financial Services
MONTECARLO,Consumer Cyclical
MORARJEE,Consumer Cyclical
MOREPENLAB,Healthcare
MOSCHIP,Technology
MOTHERSON,Consumer Cyclical
MOTILALOFS,Financial Services
MOTISONS,Consumer Cyclical
MOTOGENFIN,Real Estate
MPHASIS,Technology
MPSLTD,Communication Services
MRF,Consumer Cyclical
MRPL,Energy
MSPL,Basic Materials
MSTCLTD,Industrials
MSUMI,Consumer Cyclical
MTARTECH,Industrials
MTEDUCARE,Consumer Defensive
MTNL,Communication Services
MUFIN,Financial Services
MUFTI,Consumer Cyclical
MUKANDLTD,Basic Materials
MUKKA,Consumer Defensive
MUKTAARTS,Communication Services
MUNJALAU,Consumer Cyclical
MUNJALSHOW,Consumer Cyclical
MURUDCERA,Industrials
MUTHOOTCAP,Financial Services
MUTHOOTFIN,Financial Services
MUTHOOTMF,Financial Services
MVGJL,Consumer Cyclical
NACLIND,Basic Materials
NAGAFERT,Basic Materials
NAGREEKCAP,Financial Services
NAGREEKEXP,Consumer Cyclical
NAHARCAP,Financial Services
NAHARINDUS,Consumer Cyclical
NAHARPOLY,Consumer Cyclical
NAHARSPING,Consumer Cyclical
NAM-INDIA,Financial Services
NARMADA,Basic Materials
NATCAPSUQ,Healthcare
NATCOPHARM,Healthcare
NATHBIOGEN,Basic Materials
NATIONALUM,Basic Materials
NAUKRI,Communication Services
NAVA,Industrials
NAVINFLUOR,Basic Materials
NAVKARCORP,Industrials
NAVKARURB,Basic Materials
NAVNETEDUL,Communication Services
NAZARA,Communication Services
NBCC,Industrials
NBIFIN,Financial Services
NCC,Industrials
NCLIND,Basic Materials
NDGL,Financial Services
NDL,Consumer Cyclical
NDLVENTURE,Communication Services
NDRAUTO,Consumer Cyclical
NDTV,Communication Services
NECCLTD,Industrials
NECLIFE,Healthcare
NELCAST,Industrials
NELCO,Technology
NEOGEN,Basic Materials
NESCO,Industrials
NESTLEIND,Consumer Defensive
NETWEB,Technology
NETWORK18,Communication Services
NEULANDLAB,Healthcare
NEWGEN,Technology
NEXTMEDIA,Communication Services
NFL,Basic Materials
NGIL,Consumer Defensive
NGLFINE,Healthcare
NH,Healthcare
NHPC,Utilities
NIACL,Financial Services
NIBE,Industrials
NIBL,Industrials
NIITLTD,Consumer Defensive
NIITMTS,Consumer Defensive
NILAINFRA,Real Estate
NILASPACES,Real Estate
NILKAMAL,Consumer Cyclical
NINSYS,Technology
NIPPOBATRY,Industrials
NIRAJ,Industrials
NIRAJISPAT,Consumer Cyclical
NITCO,Industrials
NITINSPIN,Consumer Cyclical
NITIRAJ,Technology
NIVABUPA,Financial Services
NKIND,Consumer Defensive
NLCINDIA,Utilities
NMDC,Basic Materials
NOCIL,Basic Materials
NOIDATOLL,Industrials
NORBTEAEXP,Consumer Defensive
NORTHARC,Financial Services
NOVAAGRI,Basic Materials
NPST,Technology
NRAIL,Basic Materials
NRBBEARING,Consumer Cyclical
NRL,Industrials
NSIL,Financial Services
NSLNISP,Basic Materials
NTPC,Utilities
NTPCGREEN,Utilities
NUCLEUS,Technology
NURECA,Healthcare
NUVAMA,Financial Services
NUVOCO,Basic Materials
NYKAA,Consumer Cyclical
OAL,Basic Materials
OBCL,Industrials
OBEROIRLTY,Real Estate
OCCLLTD,Basic Materials
ODIGMA,Communication Services
OFSS,Technology
OIL,Energy
OILCOUNTUB,Energy
OLAELEC,Consumer Cyclical
OLECTRA,Industrials
OMAXAUTO,Consumer Cyclical
OMAXE,Real Estate
OMINFRAL,Industrials
OMKARCHEM,Basic Materials
ONELIFECAP,Financial Services
ONEPOINT,Industrials
ONESOURCE,Healthcare
ONGC,Energy
ONMOBILE,Communication Services
ONWARDTEC,Technology
OPTIEMUS,Technology
ORBTEXP,Consumer Cyclical
ORCHASP,Technology
ORCHPHARMA,Healthcare
ORICONENT,Consumer Cyclical
ORIENTALTL,Industrials
ORIENTBELL,Industrials
ORIENTCEM,Basic Materials
ORIENTCER,Basic Materials
ORIENTELEC,Consumer Cyclical
ORIENTHOT,Consumer Cyclical
ORIENTLTD,Consumer Cyclical
ORIENTPPR,Basic Materials
ORIENTTECH,Technology
ORISSAMINE,Basic Materials
ORTEL,Communication Services
ORTINGLOBE,Healthcare
OSIAHYPER,Consumer Cyclical
OSWALAGRO,Real Estate
OSWALGREEN,Financial Services
OSWALPUMPS,Industrials
OSWALSEEDS,Basic Materials
PAGEIND,Consumer Cyclical
PAISALO,Financial Services
PAKKA,Basic Materials
PALASHSECU,Consumer Defensive
PALREDTEC,Technology
PANACEABIO,Healthcare
PANACHE,Technology
PANAMAPET,Energy
PANSARI,Real Estate
PAR,Healthcare
PARACABLES,Technology
PARADEEP,Basic Materials
PARAGMILK,Consumer Defensive
PARAS,Industrials
PARASPETRO,Consumer Cyclical
PARKHOTELS,Consumer Cyclical
PARSVNATH,Real Estate
PASHUPATI,Consumer Cyclical
PASUPTAC,Consumer Cyclical
PATANJALI,Consumer Defensive
PATELENG,Industrials
PATINTLOG,Industrials
PAVNAIND,Consumer Cyclical
PAYTM,Technology
PCBL,Basic Materials
PCJEWELLER,Consumer Cyclical
PDMJEPAPER,Basic Materials
PDSL,Industrials
PEARLPOLY,Consumer Cyclical
PEL,Financial Services
PENIND,Industrials
PENINLAND,Real Estate
PERSISTENT,Technology
PETRONET,Energy
PFC,Financial Services
PFIZER,Healthcare
PFOCUS,Communication Services
PFS,Financial Services
PGEL,Technology
PGHH,Consumer Defensive
PGHL,Healthcare
PGIL,Consumer Cyclical
PHOENIXLTD,Real Estate
PICCADIL,Consumer Defensive
PIDILITIND,Basic Materials
PIGL,Industrials
PIIND,Basic Materials
PILANIINVS,Financial Services
PILITA,Consumer Cyclical
PIONEEREMB,Consumer Cyclical
PITTIENG,Industrials
PIXTRANS,Industrials
PKTEA,Consumer Defensive
PLASTIBLEN,Basic Materials
PLATIND,Basic Materials
PLAZACABLE,Industrials
PNB,Financial Services
PNBGILTS,Financial Services
PNBHOUSING,Financial Services
PNC,Communication Services
PNCINFRA,Industrials
PNGJL,Consumer Cyclical
POCL,Basic Materials
PODDARMENT,Basic Materials
POKARNA,Industrials
POLICYBZR,Financial Services
POLYCAB,Industrials
POLYMED,Healthcare
POLYPLEX,Basic Materials
PONNIERODE,Consumer Defensive
POONAWALLA,Financial Services
POWERGRID,Utilities
POWERINDIA,Industrials
POWERMECH,Industrials
PPAP,Consumer Cyclical
PPL,Industrials
PPLPHARMA,Healthcare
PRABHA,Energy
PRAENG,Real Estate
PRAJIND,Industrials
PRAKASH,Basic Materials
PRAKASHSTL,Basic Materials
PRAXIS,Consumer Cyclical
PRAXIS-RE2,Unknown
PRECAM,Consumer Cyclical
PRECOT,Consumer Cyclical
PRECWIRE,Industrials
PREMEXPLN,Basic Materials
PREMIER,Industrials
PREMIERENE,Technology
PREMIERPOL,Basic Materials
PRESTIGE,Real Estate
PRICOLLTD,Consumer Cyclical
PRIMESECU,Financial Services
PRIMO,Basic Materials
PRINCEPIPE,Industrials
PRITI,Consumer Cyclical
PRITIKAUTO,Industrials
PRIVISCL,Basic Materials
PROSTARM,Industrials
PROTEAN,Technology
PROZONER,Real Estate
PRSMJOHNSN,Basic Materials
PRUDENT,Financial Services
PRUDMOULI,Consumer Defensive
PSB,Financial Services
PSPPROJECT,Industrials
PTC,Utilities
PTCIL,Industrials
PTL,Real Estate
PUNJABCHEM,Basic Materials
PURVA,Real Estate
PVP,Industrials
PVRINOX,Communication Services
PVSL,Consumer Cyclical
PYRAMID,Consumer Cyclical
QPOWER,Industrials
QUADFUTURE,Industrials
QUESS,Industrials
QUICKHEAL,Technology
RACE,Industrials
RACLGEAR,Consumer Cyclical
RADAAN,Communication Services
RADHIKAJWE,Consumer Cyclical
RADIANTCMS,Industrials
RADICO,Consumer Defensive
RADIOCITY,Communication Services
RAILTEL,Communication Services
RAIN,Basic Materials
RAINBOW,Healthcare
RAJESHEXPO,Consumer Cyclical
RAJMET,Basic Materials
RAJOOENG,Industrials
RAJRATAN,Basic Materials
RAJRILTD,Consumer Cyclical
RAJSREESUG,Consumer Defensive
RAJTV,Communication Services
RALLIS,Basic Materials
RAMANEWS,Consumer Defensive
RAMAPHO,Basic Materials
RAMASTEEL,Basic Materials
RAMCOCEM,Basic Materials
RAMCOIND,Industrials
RAMCOSYS,Technology
RAMKY,Industrials
RAMRAT,Industrials
RANASUG,Consumer Defensive
RANEHOLDIN,Consumer Cyclical
RATEGAIN,Technology
RATNAMANI,Basic Materials
RATNAVEER,Basic Materials
RAYMOND,Industrials
RAYMONDLSL,Consumer Cyclical
RAYMONDREL,Real Estate
RBA,Consumer Cyclical
RBLBANK,Financial Services
RBZJEWEL,Consumer Cyclical
RCF,Basic Materials
RCOM,Communication Services
RECLTD,Financial Services
REDINGTON,Technology
REDTAPE,Consumer Cyclical
REFEX,Energy
REGENCERAM,Industrials
RELAXO,Consumer Cyclical
RELCHEMQ,Consumer Cyclical
RELIABLE,Technology
RELIANCE,Energy
RELIGARE,Financial Services
RELINFRA,Utilities
RELTD,Technology
REMSONSIND,Consumer Cyclical
RENUKA,Consumer Defensive
REPCOHOME,Financial Services
REPL,Industrials
REPRO,Industrials
RESPONIND,Basic Materials
RETAIL,Consumer Defensive
RGL,Consumer Cyclical
RHFL,Financial Services
RHIM,Industrials
RHL,Consumer Cyclical
RICOAUTO,Consumer Cyclical
RIIL,Industrials
RISHABH,Technology
RITCO,Industrials
RITES,Industrials
RKDL,Consumer Defensive
RKEC,Industrials
RKFORGE,Industrials
RKSWAMY,Communication Services
RMDRIP,Industrials
RML,Consumer Cyclical
ROHLTD,Consumer Cyclical
ROLEXRINGS,Industrials
ROLLT,Real Estate
ROLTA,Technology
ROML,Consumer Defensive
ROSSARI,Basic Materials
ROSSELLIND,Industrials
ROSSTECH,Industrials
ROTO,Industrials
ROUTE,Communication Services
RPEL,Basic Materials
RPGLIFE,Healthcare
RPOWER,Utilities
RPPINFRA,Industrials
RPPL,Consumer Cyclical
RPSGVENT,Technology
RPTECH,Technology
RRKABEL,Industrials
RSSOFTWARE,Technology
RSWM,Consumer Cyclical
RSYSTEMS,Technology
RTNINDIA,Consumer Cyclical
RTNPOWER,Utilities
RUBFILA,Basic Materials
RUBYMILLS,Consumer Cyclical
RUCHINFRA,Industrials
RUCHIRA,Basic Materials
RUPA,Consumer Cyclical
RUSHIL,Consumer Cyclical
RUSTOMJEE,Real Estate
RVHL,Real Estate
RVNL,Industrials
RVTH,Industrials
S&SPOWER,Industrials
SABEVENTS,Communication Services
SABTNL,Communication Services
SADBHAV,Industrials
SADBHIN,Industrials
SADHNANIQ,Basic Materials
SAFARI,Consumer Cyclical
SAGARDEEP,Basic Materials
SAGCEM,Basic Materials
SAGILITY,Healthcare
SAH,Consumer Cyclical
SAHYADRI,Industrials
SAIL,Basic Materials
SAILIFE,Healthcare
SAKAR,Healthcare
SAKHTISUG,Consumer Defensive
SAKSOFT,Technology
SAKUMA,Consumer Defensive
SALASAR,Basic Materials
SALONA,Consumer Cyclical
SALSTEEL,Basic Materials
SALZERELEC,Industrials
SAMBHAAV,Communication Services
SAMBHV,Basic Materials
SAMHI,Consumer Cyclical
SAMMAANCAP,Financial Services
SAMPANN,Basic Materials
SANATHAN,Consumer Cyclical
SANDESH,Communication Services
SANDHAR,Consumer Cyclical
SANDUMA,Basic Materials
SANGAMIND,Consumer Cyclical
SANGHIIND,Basic Materials
SANGHVIMOV,Industrials
SANGINITA,Basic Materials
SANOFI,Healthcare
SANOFICONR,Healthcare
SANSERA,Consumer Cyclical
SANSTAR,Basic Materials
SANWARIA,Consumer Defensive
SAPPHIRE,Consumer Cyclical
SARDAEN,Basic Materials
SAREGAMA,Communication Services
SARLAPOLY,Consumer Cyclical
SARVESHWAR,Consumer Defensive
SASKEN,Technology
SASTASUNDR,Healthcare
SATIA,Basic Materials
SATIN,Financial Services
SAURASHCEM,Basic Materials
SBC,Industrials
SBCL,Industrials
SBFC,Financial Services
SBGLP,Real Estate
SBICARD,Financial Services
SBILIFE,Financial Services
SBIN,Financial Services
SCHAEFFLER,Consumer Cyclical
SCHAND,Communication Services
SCHNEIDER,Industrials
SCI,Industrials
SCILAL,Real Estate
SCODATUBES,Basic Materials
SCPL,Consumer Defensive
SDBL,Consumer Defensive
SEAMECLTD,Industrials
SECMARK,Industrials
SECURKLOUD,Technology
SEJALLTD,Industrials
SELAN,Energy
SELMC,Consumer Cyclical
SEMAC,Industrials
SENCO,Consumer Cyclical
SENORES,Healthcare
SEPC,Industrials
SEQUENT,Healthcare
SERVOTECH,Industrials
SESHAPAPER,Basic Materials
SETCO,Consumer Cyclical
SETUINFRA,Industrials
SEYAIND,Basic Materials
SFL,Consumer Cyclical
SGFIN,Financial Services
SGIL,Industrials
SGL,Consumer Cyclical
SGLTL,Industrials
SHAH,Basic Materials
SHAHALLOYS,Basic Materials
SHAILY,Basic Materials
SHAKTIPUMP,Industrials
SHALBY,Healthcare
SHALPAINTS,Basic Materials
SHANKARA,Consumer Cyclical
SHANTI,Consumer Defensive
SHANTIGEAR,Industrials
SHANTIGOLD,Consumer Cyclical
SHARDACROP,Basic Materials
SHARDAMOTR,Consumer Cyclical
SHAREINDIA,Financial Services
SHEKHAWATI,Consumer Cyclical
SHEMAROO,Communication Services
SHILPAMED,Healthcare
SHIVALIK,Basic Materials
SHIVAMAUTO,Consumer Cyclical
SHIVAMILLS,Consumer Cyclical
SHIVATEX,Consumer Cyclical
SHK,Basic Materials
SHOPERSTOP,Consumer Cyclical
SHRADHA,Real Estate
SHREDIGCEM,Basic Materials
SHREECEM,Basic Materials
SHREEPUSHK,Basic Materials
SHREERAMA,Consumer Cyclical
SHRENIK,Basic Materials
SHREYANIND,Basic Materials
SHRIPISTON,Consumer Cyclical
SHRIRAMFIN,Financial Services
SHRIRAMPPS,Real Estate
SHYAMCENT,Basic Materials
SHYAMMETL,Basic Materials
SHYAMTEL,Technology
SICALLOG,Industrials
SIEMENS,Industrials
SIGACHI,Healthcare
SIGIND,Industrials
SIGMA,Technology
SIGNATURE,Real Estate
SIGNPOST,Communication Services
SIKKO,Basic Materials
SIL,Consumer Cyclical
SILGO,Consumer Cyclical
SILINV,Financial Services
SILLYMONKS,Communication Services
SILVERTUC,Technology
SIMBHALS,Consumer Defensive
SIMPLEXINF,Industrials
SINCLAIR,Consumer Cyclical
SINDHUTRAD,Industrials
SINTERCOM,Consumer Cyclical
SIRCA,Basic Materials
SIS,Industrials
SITINET,Communication Services
SIYSIL,Consumer Cyclical
SJS,Consumer Cyclical
SJVN,Utilities
SKFINDIA,Industrials
SKIPPER,Industrials
SKMEGGPROD,Consumer Defensive
SKYGOLD,Consumer Cyclical
SMARTLINK,Technology
SMARTWORKS,Unknown
SMCGLOBAL,Financial Services
SMLISUZU,Consumer Cyclical
SMLT,Industrials
SMSLIFE,Healthcare
SMSPHARMA,Healthcare
SNOWMAN,Industrials
SOBHA,Real Estate
SOFTTECH,Technology
SOLARA,Healthcare
SOLARINDS,Basic Materials
SOMANYCERA,Industrials
SOMATEX,Consumer Cyclical
SOMICONVEY,Industrials
SONACOMS,Consumer Cyclical
SONAMLTD,Consumer Cyclical
SONATSOFTW,Technology
SOTL,Basic Materials
SOUTHBANK,Financial Services
SOUTHWEST,Energy
SPAL,Consumer Cyclical
SPANDANA,Financial Services
SPARC,Healthcare
SPCENET,Financial Services
SPECIALITY,Consumer Cyclical
SPECTRUM,Industrials
SPENCERS,Consumer Cyclical
SPIC,Basic Materials
SPLIL,Consumer Cyclical
SPLPETRO,Basic Materials
SPMLINFRA,Industrials
SPORTKING,Consumer Cyclical
SRD,Basic Materials
SREEL,Consumer Cyclical
SRF,Industrials
SRGHFL,Financial Services
SRHHYPOLTD,Basic Materials
SRM,Industrials
SSDL,Consumer Cyclical
SSWL,Consumer Cyclical
STALLION,Basic Materials
STANLEY,Consumer Cyclical
STAR,Healthcare
STARCEMENT,Basic Materials
STARHEALTH,Financial Services
STARPAPER,Basic Materials
STARTECK,Financial Services
STCINDIA,Industrials
STEELCAS,Basic Materials
STEELCITY,Financial Services
STEELXIND,Basic Materials
STEL,Financial Services
STERTOOLS,Industrials
STLTECH,Technology
STOVEKRAFT,Consumer Cyclical
STYLAMIND,Consumer Cyclical
STYLEBAAZA,Consumer Cyclical
STYRENIX,Basic Materials
SUBEXLTD,Technology
SUBROS,Consumer Cyclical
SUDARSCHEM,Basic Materials
SUKHJITS,Basic Materials
SULA,Consumer Defensive
SUMEETINDS,Consumer Cyclical
SUMICHEM,Basic Materials
SUMIT,Real Estate
SUMMITSEC,Financial Services
SUNCLAY,Industrials
SUNDARAM,Basic Materials
SUNDARMFIN,Financial Services
SUNDARMHLD,Financial Services
SUNDRMBRAK,Consumer Cyclical
SUNDRMFAST,Consumer Cyclical
SUNDROP,Consumer Defensive
SUNFLAG,Basic Materials
SUNPHARMA,Healthcare
SUNTECK,Real Estate
SUNTV,Communication Services
SUPERHOUSE,Consumer Cyclical
SUPERSPIN,Consumer Cyclical
SUPRAJIT,Consumer Cyclical
SUPREME,Real Estate
SUPREMEIND,Industrials
SUPREMEINF,Industrials
SUPRIYA,Healthcare
SURAJEST,Real Estate
SURAJLTD,Basic Materials
SURAKSHA,Healthcare
SURANASOL,Technology
SURANAT&P,Utilities
SURYALAXMI,Consumer Cyclical
SURYAROSNI,Basic Materials
SURYODAY,Financial Services
SUTLEJTEX,Consumer Cyclical
SUVEN,Healthcare
SUVIDHAA,Technology
SUYOG,Communication Services
SUZLON,Industrials
SVLL,Industrials
SVPGLOB,Consumer Cyclical
SWANENERGY,Industrials
SWARAJENG,Consumer Cyclical
SWELECTES,Technology
SWIGGY,Consumer Cyclical
SWSOLAR,Technology
SYMPHONY,Consumer Cyclical
SYNCOMF,Healthcare
SYNGENE,Healthcare
SYRMA,Technology
TAINWALCHM,Basic Materials
TAJGVK,Consumer Cyclical
TAKE,Healthcare
TALBROAUTO,Consumer Cyclical
TANLA,Technology
TARACHAND,Industrials
TARAPUR,Industrials
TARC,Real Estate
TARIL,Industrials
TARMAT,Industrials
TARSONS,Healthcare
TASTYBITE,Consumer Defensive
TATACHEM,Basic Materials
TATACOMM,Communication Services
TATACONSUM,Consumer Defensive
TATAELXSI,Technology
TATAINVEST,Financial Services
TATAMOTORS,Consumer Cyclical
TATAPOWER,Utilities
TATASTEEL,Basic Materials
TATATECH,Technology
TATVA,Basic Materials
TBOTEK,Consumer Cyclical
TBZ,Consumer Cyclical
TCI,Industrials
TCIEXP,Industrials
TCIFINANCE,Financial Services
TCPLPACK,Consumer Cyclical
TCS,Technology
TDPOWERSYS,Industrials
TEAMLEASE,Industrials
TECHM,Technology
TECHNOE,Industrials
TECILCHEM,Financial Services
TEGA,Industrials
TEJASNET,Technology
TEMBO,Industrials
TERASOFT,Technology
TEXINFRA,Real Estate
TEXMOPIPES,Industrials
TEXRAIL,Industrials
TFCILTD,Financial Services
TFL,Financial Services
TGBHOTELS,Consumer Cyclical
THANGAMAYL,Consumer Cyclical
THEINVEST,Financial Services
THEJO,Industrials
THELEELA,Consumer Cyclical
THEMISMED,Healthcare
THERMAX,Industrials
THOMASCOOK,Consumer Cyclical
THOMASCOTT,Consumer Cyclical
THYROCARE,Healthcare
TI,Consumer Defensive
TICL,Industrials
TIIL,Industrials
TIINDIA,Industrials
TIJARIA,Industrials
TIL,Industrials
TIMESGTY,Financial Services
TIMETECHNO,Consumer Cyclical
TIMKEN,Industrials
TINNARUBR,Basic Materials
TIPSFILMS,Communication Services
TIPSMUSIC,Communication Services
TIRUMALCHM,Basic Materials
TIRUPATIFL,Industrials
TITAGARH,Industrials
TITAN,Consumer Cyclical
TMB,Financial Services
TNPETRO,Basic Materials
TNPL,Basic Materials
TNTELE,Technology
TOKYOPLAST,Consumer Cyclical
TOLINS,Consumer Cyclical
TORNTPHARM,Healthcare
TORNTPOWER,Utilities
TOTAL,Industrials
TOUCHWOOD,Communication Services
TPHQ,Industrials
TPLPLASTEH,Consumer Cyclical
TRACXN,Technology
TRANSRAILL,Industrials
TRANSWORLD,Industrials
TRAVELFOOD,Consumer Cyclical
TREEHOUSE,Consumer Defensive
TREJHARA,Technology
TREL,Real Estate
TRENT,Consumer Cyclical
TRF,Industrials
TRIDENT,Consumer Cyclical
TRIGYN,Technology
TRITURBINE,Industrials
TRIVENI,Consumer Defensive
TRU,Financial Services
TTKHLTCARE,Healthcare
TTKPRESTIG,Consumer Cyclical
TTL,Consumer Cyclical
TTML,Communication Services
TVSELECT,Technology
TVSHLTD,Consumer Cyclical
TVSMOTOR,Consumer Cyclical
TVSSCS,Industrials
TVSSRICHAK,Consumer Cyclical
TVTODAY,Communication Services
TVVISION,Communication Services
UBL,Consumer Defensive
UCAL,Consumer Cyclical
UCOBANK,Financial Services
UDAICEMENT,Basic Materials
UDS,Industrials
UEL,Technology
UFLEX,Consumer Cyclical
UFO,Communication Services
UGARSUGAR,Consumer Defensive
UGROCAP,Financial Services
UJJIVANSFB,Financial Services
ULTRACEMCO,Basic Materials
UMAEXPORTS,Consumer Defensive
UMESLTD,Consumer Defensive
UMIYA-MRO,Real Estate
UNICHEMLAB,Healthcare
UNIDT,Energy
UNIECOM,Technology
UNIENTER,Basic Materials
UNIINFO,Communication Services
UNIMECH,Industrials
UNIONBANK,Financial Services
UNIPARTS,Industrials
UNITDSPR,Consumer Defensive
UNITECH,Real Estate
